lemma,en_US,en_GB,en_AU,en_CA,notes
amok,amok,amok,,,
amoks,amoks,amoks,,,
amok's,amok's,amok's,,,
among,among,among,,,
amoralize,amoralize,amoralize,,,
amoralizes,amoralizes,amoralizes,,,
amoret,amoret,amouret,,,
amorism,amorism,amourism,,,
amorisms,amorisms,amourisms,,,
amorism's,amorism's,amourism's,,,
amorist,amorist,amourist,,,
amorists,amorists,amourists,,,
amorist's,amorist's,amourist's,,,
amoristic,amoristic,amouristic,,,
amoristics,amoristics,amouristics,,,
amorphization,amorphization,amorphization,,,
amorphize,amorphize,amorphize,,,
amortizable,amortizable,amortizable,,,
amortizabler,amortizabler,amortizabler,,,
amortizables,amortizables,amortizables,,,
amortizablest,amortizablest,amortizablest,,,
amortizable's,amortizable's,amortizable's,,,
amortization,amortization,amortization,,,
amortizations,amortizations,amortizations,,,
amortization's,amortization's,amortization's,,,
amortize,amortize,amortize,,,
amortized,amortized,amortized,,,
amortizing,amortizing,amortizing,,,
amortizes,amortizes,amortizes,,,
amortizement,amortizement,amortizement,,,
amortizements,amortizements,amortizements,,,
amortizement's,amortizement's,amortizement's,,,
amphigean,amphigean,amphigaean,,,
amphitheater,amphitheater,amphitheatre,,amphitheatre,
amphitheaters,amphitheaters,amphitheatres,,amphitheatres,
amphitheater's,amphitheater's,amphitheatre's,,amphitheatre's,
amygdale,amygdale,amygdalae,,,
amyxorrhea,amyxorrhea,amyxorrhoea,,,
anabaptize,anabaptize,anabaptize,,,
anabaptized,anabaptized,anabaptized,,,
anabaptizing,anabaptizing,anabaptizing,,,
anabaptizes,anabaptizes,anabaptizes,,,
anagrammatize,anagrammatize,anagrammatize,,,
anagrammatized,anagrammatized,anagrammatized,,,
anagrammatizing,anagrammatizing,anagrammatizing,,,
anagrammatizes,anagrammatizes,anagrammatizes,,,
analogize,analogize,analogize,,,
analogized,analogized,analogized,,,
analogizing,analogizing,analogizing,,,
analogizes,analogizes,analogizes,,,
analyzability,analyzability,analysability,,analyzability,
analyzability's,analyzability's,analysability's,,analyzability's,
analyzable,analyzable,analysable,,analyzable,
analyzabler,analyzabler,analysabler,,analyzabler,
analyzablest,analyzablest,analysablest,,analyzablest,
analyzation,analyzation,analysation,,analyzation,
analyzations,analyzations,analysations,,analyzations,
analyzation's,analyzation's,analysation's,,analyzation's,
analyze,analyze,analyse,,analyze,
analyzed,analyzed,analysed,,analyzed,
analyzing,analyzing,analysing,,analyzing,
analyzes,analyzes,analyses,,analyzes,
analyzer,analyzer,analyser,,analyzer,
analyzers,analyzers,analysers,,analyzers,
analyzer's,analyzer's,analyser's,,analyzer's,
anapestically,anapestically,anapaestically,,,
anapneic,anapneic,anapnoeic,,,
anarchize,anarchize,anarchize,,,
anarchized,anarchized,anarchized,,,
anarchizing,anarchizing,anarchizing,,,
anarchizes,anarchizes,anarchizes,,,
anathematization,anathematization,anathematization,,,
anathematizations,anathematizations,anathematizations,,,
anathematization's,anathematization's,anathematization's,,,
anathematize,anathematize,anathematize,,,
anathematized,anathematized,anathematized,,,
anathematizing,anathematizing,anathematizing,,,
anathematizes,anathematizes,anathematizes,,,
anathematizer,anathematizer,anathematizer,,,
anathematizer's,anathematizer's,anathematizer's,,,
anatomizable,anatomizable,anatomizable,,,
anatomization,anatomization,anatomization,,,
anatomization's,anatomization's,anatomization's,,,
anatomize,anatomize,anatomize,,,
anatomized,anatomized,anatomized,,,
anatomizing,anatomizing,anatomizing,,,
anatomizes,anatomizes,anatomizes,,,
anatomizer,anatomizer,anatomizer,,,
anatomizer's,anatomizer's,anatomizer's,,,
ancille,ancille,ancillae,,,
anematosis,anematosis,anaematosis,,,
anemia,anemia,anaemia,,anemia,
anemias,anemias,anaemias,,anemias,
anemia's,anemia's,anaemia's,,anemia's,
anemic,anemic,anaemic,,anemic,
anemicer,anemicer,anaemicer,,anemicer,
anemicest,anemicest,anaemicest,,anemicest,
anemics,anemics,anaemics,,anemics,
anemically,anemically,anaemically,,,
aneretic,aneretic,anaeretic,,,
anesis,anesis,anoesis,,,
anesthesia,anesthesia,anaesthesia,,anaesthesia,
anesthesias,anesthesias,anaesthesias,,anaesthesias,
anesthesia's,anesthesia's,anaesthesia's,,anaesthesia's,
anesthesiant,anesthesiant,anaesthesiant,,,
anesthesiologist,anesthesiologist,anaesthesiologist,,anesthesiologist,
anesthesiologists,anesthesiologists,anaesthesiologists,,anesthesiologists,
anesthesiologist's,anesthesiologist's,anaesthesiologist's,,anesthesiologist's,
anesthesiology,anesthesiology,anaesthesiology,,anesthesiology,
anesthesiologies,anesthesiologies,anaesthesiologies,,anesthesiologies,
anesthesiology's,anesthesiology's,anaesthesiology's,,anesthesiology's,
anesthesis,anesthesis,anaesthesis,,,
anesthetic,anesthetic,anaesthetic,,anaesthetic,
anestheticer,anestheticer,anaestheticer,,anaestheticer,
anestheticest,anestheticest,anaestheticest,,anaestheticest,
anesthetics,anesthetics,anaesthetics,,anaesthetics,
anesthetic's,anesthetic's,anaesthetic's,,anaesthetic's,
anesthetically,anesthetically,anaesthetically,,,
anesthetist,anesthetist,anaesthetist,,,
anesthetists,anesthetists,anaesthetists,,,
anesthetist's,anesthetist's,anaesthetist's,,,
anesthetization,anesthetization,anaesthetisation,,,
anesthetizations,anesthetizations,anaesthetisations,,,
anesthetization's,anesthetization's,anaesthetisation's,,,
anesthetize,anesthetize,anaesthetise,,anaesthetize,
anesthetized,anesthetized,anaesthetised,,anaesthetized,
anesthetizing,anesthetizing,anaesthetising,,anaesthetizing,
anesthetizes,anesthetizes,anaesthetises,,anaesthetizes,
anesthetizer,anesthetizer,anaesthetiser,,,
anesthetizers,anesthetizers,anaesthetisers,,,
anesthyl,anesthyl,anaesthyl,,,
anestri,anestri,anoestri,,,
anestrous,anestrous,anoestrous,,,
anestrum,anestrum,anoestrum,,,
anestra,anestra,anoestra,,,
anestrus,anestrus,anoestrus,,,
anestruses,anestruses,anoestruses,,,
anestrus's,anestrus's,anoestrus's,,,
anetic,anetic,anoetic,,,
anetiological,anetiological,anaetiological,,,
angelicize,angelicize,angelicize,,,
angelicizes,angelicizes,angelicizes,,,
angelize,angelize,angelize,,,
angelizes,angelizes,angelizes,,,
anglicization,anglicization,anglicization,,,
anglicizations,anglicizations,anglicizations,,,
anglicization's,anglicization's,anglicization's,,,
anglicize,anglicize,anglicize,,,
anglicized,anglicized,anglicized,,,
anglicizing,anglicizing,anglicizing,,,
anglicizes,anglicizes,anglicizes,,,
angrecum,angrecum,angraecum,,,
angularization,angularization,angularization,,,
angularizations,angularizations,angularizations,,,
angularization's,angularization's,angularization's,,,
angularize,angularize,angularize,,,
angularizes,angularizes,angularizes,,,
anhematopoiesis,anhematopoiesis,anhaematopoiesis,,,
anhematopoiesis's,anhematopoiesis's,anhaematopoiesis's,,,
anhematosis,anhematosis,anhaematosis,,,
anhemolytic,anhemolytic,anhaemolytic,,,
anhydremia,anhydremia,anhydraemia,,,
anhydremic,anhydremic,anhydraemic,,,
anhydridization,anhydridization,anhydridization,,,
anhydridizations,anhydridizations,anhydridizations,,,
anhydridization's,anhydridization's,anhydridization's,,,
anhydridize,anhydridize,anhydridize,,,
anhydridizes,anhydridizes,anhydridizes,,,
animalization,animalization,animalization,,,
animalizations,animalizations,animalizations,,,
animalization's,animalization's,animalization's,,,
animalize,animalize,animalize,,,
animalized,animalized,animalized,,,
animalizing,animalizing,animalizing,,,
animalizes,animalizes,animalizes,,,
animized,animized,animized,,,
annalize,annalize,annalize,,,
annalized,annalized,annalized,,,
annalizing,annalizing,annalizing,,,
annalizes,annalizes,annalizes,,,
annualization,annualization,annualization,,,
annualize,annualize,annualize,,,
annualized,annualized,annualized,,,
annualizing,annualizing,annualizing,,,
annualizes,annualizes,annualizes,,,
anodization,anodization,anodization,,,
anodize,anodize,anodize,,,
anodized,anodized,anodized,,,
anodizing,anodizing,anodizing,,,
anodizes,anodizes,anodizes,,,
anonymize,anonymize,anonymize,,,
anonymized,anonymized,anonymized,,,
anonymizing,anonymizing,anonymizing,,,
anonymizes,anonymizes,anonymizes,,,
anoxemia,anoxemia,anoxaemia,,,
anoxemia's,anoxemia's,anoxaemia's,,,
anoxemic,anoxemic,anoxaemic,,,
anserine,anserine,anserinae,,,
antagonizable,antagonizable,antagonizable,,,
antagonization,antagonization,antagonization,,,
antagonizations,antagonizations,antagonizations,,,
antagonization's,antagonization's,antagonization's,,,
antagonize,antagonize,antagonize,,,
antagonized,antagonized,antagonized,,,
antagonizing,antagonizing,antagonizing,,,
antagonizes,antagonizes,antagonizes,,,
antagonizer,antagonizer,antagonizer,,,
antagonizers,antagonizers,antagonizers,,,
anthecological,anthecological,anthoecological,,,
anthecologist,anthecologist,anthoecologist,,,
anthecology,anthecology,anthoecology,,,
anthologization,anthologization,anthologization,,,
anthologize,anthologize,anthologize,,,
anthologized,anthologized,anthologized,,,
anthologizing,anthologizing,anthologizing,,,
anthologizes,anthologizes,anthologizes,,,
anthologizer,anthologizer,anthologizer,,,
anthracemia,anthracemia,anthracaemia,,,
anthracitization,anthracitization,anthracitization,,,
anthracitizations,anthracitizations,anthracitizations,,,
anthracitization's,anthracitization's,anthracitization's,,,
anthropomorphization,anthropomorphization,anthropomorphization,,,
anthropomorphizations,anthropomorphizations,anthropomorphizations,,,
anthropomorphization's,anthropomorphization's,anthropomorphization's,,,
anthropomorphize,anthropomorphize,anthropomorphize,,,
anthropomorphized,anthropomorphized,anthropomorphized,,,
anthropomorphizing,anthropomorphizing,anthropomorphizing,,,
anthropomorphizes,anthropomorphizes,anthropomorphizes,,,
anticatalyzer,anticatalyzer,anticatalyser,,,
anticatalyzers,anticatalyzers,anticatalysers,,,
anticatalyzer's,anticatalyzer's,anticatalyser's,,,
anticentralization,anticentralization,anticentralization,,,
anticentralizations,anticentralizations,anticentralizations,,,
anticentralization's,anticentralization's,anticentralization's,,,
anticize,anticize,anticize,,,
anticizes,anticizes,anticizes,,,
antiepicenter,antiepicenter,antiepicentre,,,
antiepicenters,antiepicenters,antiepicentres,,,
antiepicenter's,antiepicenter's,antiepicentre's,,,
antifertilizer,antifertilizer,antifertilizer,,,
antifertilizers,antifertilizers,antifertilizers,,,
antifertilizer's,antifertilizer's,antifertilizer's,,,
antilabor,antilabor,antilabour,,,
antilabors,antilabors,antilabours,,,
antilabor's,antilabor's,antilabour's,,,
antilemic,antilemic,antiloemic,,,
antimedieval,antimedieval,antimediaeval,,,
antimedievalism,antimedievalism,antimediaevalism,,,
antimedievalism's,antimedievalism's,antimediaevalism's,,,
antimedievalist,antimedievalist,antimediaevalist,,,
antimedievalist's,antimedievalist's,antimediaevalist's,,,
antimedievally,antimedievally,antimediaevally,,,
antioxidizer,antioxidizer,antioxidizer,,,
antioxidizers,antioxidizers,antioxidizers,,,
antioxidizer's,antioxidizer's,antioxidizer's,,,
antioxidizing,antioxidizing,antioxidizing,,,
antioxidizings,antioxidizings,antioxidizings,,,
antioxidizing's,antioxidizing's,antioxidizing's,,,
antipathize,antipathize,antipathize,,,
antipathizes,antipathizes,antipathizes,,,
antiquarianize,antiquarianize,antiquarianize,,,
antiquarianizes,antiquarianizes,antiquarianizes,,,
antirumor,antirumor,antirumour,,,
antirumors,antirumors,antirumours,,,
antirumor's,antirumor's,antirumour's,,,
antisensitize,antisensitize,antisensitize,,,
antisensitizes,antisensitizes,antisensitizes,,,
antisensitizer,antisensitizer,antisensitizer,,,
antisensitizers,antisensitizers,antisensitizers,,,
antisensitizer's,antisensitizer's,antisensitizer's,,,
antisepticize,antisepticize,antisepticize,,,
antisepticized,antisepticized,antisepticized,,,
antisepticizing,antisepticizing,antisepticizing,,,
antisepticizes,antisepticizes,antisepticizes,,,
antiseptize,antiseptize,antiseptize,,,
antiseptizes,antiseptizes,antiseptizes,,,
antisiphon,antisiphon,antisyphon,,,
antisiphons,antisiphons,antisyphons,,,
antisiphon's,antisiphon's,antisyphon's,,,
antithesize,antithesize,antithesize,,,
antithesizes,antithesizes,antithesizes,,,
anviled,anviled,anvilled,,,
anviling,anviling,anvilling,,,
apesthesia,apesthesia,apaesthesia,,,
apesthetic,apesthetic,apaesthetic,,,
apheresis,apheresis,aphaeresis,,,
aphereses,aphereses,aphaereses,,,
apheresis's,apheresis's,aphaeresis's,,,
apheretic,apheretic,aphaeretic,,,
aphetize,aphetize,aphetize,,,
aphetized,aphetized,aphetized,,,
aphetizing,aphetizing,aphetizing,,,
aphetizes,aphetizes,aphetizes,,,
aphorize,aphorize,aphorize,,,
aphorized,aphorized,aphorized,,,
aphorizing,aphorizing,aphorizing,,,
aphorizes,aphorizes,aphorizes,,,
aphorizer,aphorizer,aphorizer,,,
aphorizers,aphorizers,aphorizers,,,
aphorizer's,aphorizer's,aphorizer's,,,
apnea,apnea,apnoea,,apnea,
apneas,apneas,apnoeas,,apneas,
apnea's,apnea's,apnoea's,,apnea's,
apneal,apneal,apnoeal,,,
apneic,apneic,apnoeic,,,
apocenter,apocenter,apocentre,,,
apogeic,apogeic,apogaeic,,,
apologize,apologize,apologize,,,
apologized,apologized,apologized,,,
apologizing,apologizing,apologizing,,,
apologizes,apologizes,apologizes,,,
apologizer,apologizer,apologizer,,,
apologizers,apologizers,apologizers,,,
apologizer's,apologizer's,apologizer's,,,
apophthegmatize,apophthegmatize,apophthegmatize,,,
apophthegmatized,apophthegmatized,apophthegmatized,,,
apophthegmatizing,apophthegmatizing,apophthegmatizing,,,
apophthegmatizes,apophthegmatizes,apophthegmatizes,,,
aporrhea,aporrhea,aporrhoea,,,
apostatization,apostatization,apostatization,,,
apostatize,apostatize,apostatize,,,
apostatized,apostatized,apostatized,,,
apostatizing,apostatizing,apostatizing,,,
apostatizes,apostatizes,apostatizes,,,
apostolize,apostolize,apostolize,,,
apostolized,apostolized,apostolized,,,
apostolizing,apostolizing,apostolizing,,,
apostolizes,apostolizes,apostolizes,,,
apostrophize,apostrophize,apostrophize,,,
apostrophized,apostrophized,apostrophized,,,
apostrophizing,apostrophizing,apostrophizing,,,
apostrophizes,apostrophizes,apostrophizes,,,
apothegmatize,apothegmatize,apothegmatize,,,
apothegmatized,apothegmatized,apothegmatized,,,
apothegmatizing,apothegmatizing,apothegmatizing,,,
apothegmatizes,apothegmatizes,apothegmatizes,,,
apotheosize,apotheosize,apotheosize,,,
apotheosized,apotheosized,apotheosized,,,
apotheosizing,apotheosizing,apotheosizing,,,
apotheosizes,apotheosizes,apotheosizes,,,
appall,appall,appal,,appall,
appalls,appalls,appals,,appalls,
appareled,appareled,apparelled,,,
appareling,appareling,apparelling,,,
appendixes,appendixes,appendices,,appendixes,
appetize,appetize,appetize,,,
appetized,appetized,appetized,,,
appetizing,appetizing,appetizing,,,
